text,category,sub-category
Your account has been blocked due to suspicious activity. Reply with your OTP immediately.,BankingScam,Account Blocked
Your ATM card has been deactivated. Call our helpline immediately to reactivate.,BankingScam,Account Blocked
Please provide your Aadhaar number and bank details to complete your KYC update.,BankingScam,KYC Verification
Someone is trying to withdraw money from your account. Share your UPI PIN to stop the transaction.,BankingScam,Fraudulent Transaction
We have detected a fraudulent transaction. Transfer funds to the safe account provided.,BankingScam,Fraudulent Transaction
"Congratulations, you are pre-approved for a loan. Please pay the processing fee to claim the loan.",BankingScam,Loan Offer
Please send your PAN card details and Aadhaar number to verify your account.,BankingScam,KYC Verification
Your credit card shows suspicious activity. Call now to verify transactions.,BankingScam,Credit Card Scam
RBI alert: Your bank account may be compromised. Provide your OTP to secure it.,BankingScam,RBI Impersonation Scam
Your account is frozen due to incomplete KYC. Submit bank details for activation.,BankingScam,Account Blocked
Update your KYC by providing sensitive information to complete the process.,BankingScam,KYC Verification
Alert: Suspicious login detected. Please share your card details to verify identity.,BankingScam,Fraudulent Transaction
Emergency: Your account is under surveillance. Provide verification details immediately.,BankingScam,RBI Impersonation Scam
Your Paytm account is flagged. Provide login credentials to resolve the issue.,BankingScam,Account Blocked
ICICI customer: Confirm your recent transaction by sharing your OTP now.,BankingScam,Fraudulent Transaction
Axis Bank: Your account is blocked due to high risk activity. Verify your details immediately.,BankingScam,Account Blocked
Your credit card reward redemption request requires confirmation of your details.,BankingScam,Credit Card Scam
We need to reverse a fraudulent transaction. Please provide your OTP to proceed.,BankingScam,Fraudulent Transaction
PNB alert: Your account is frozen due to unusual activity. Provide full details to reactivate.,BankingScam,Account Blocked
Verify your identity immediately to resolve a potential fraud incident on your account.,BankingScam,Fraudulent Transaction
RBI calling: Ensure your account safety by providing your bank details and OTP now.,BankingScam,RBI Impersonation Scam
ICICI notification: Incomplete KYC detected. Submit your PAN and Aadhaar for clearance.,BankingScam,KYC Verification
HDFC fraud alert: Immediate action required—please confirm your account details.,BankingScam,Fraudulent Transaction
Exclusive offer: Secure your loan by paying a small fee. Respond with your bank details.,BankingScam,Loan Offer
"Google Pay alert: Unusual activity detected, please send your UPI PIN for verification.",BankingScam,Fraudulent Transaction
Your account has been temporarily locked for security. Provide your details to unlock.,BankingScam,Account Blocked
RBI message: Protect your account by immediately confirming your identity via OTP.,BankingScam,RBI Impersonation Scam
Your HDFC account is on hold. Complete the KYC process by providing sensitive information.,BankingScam,KYC Verification
Update required: Your account requires verification due to suspicious activity. Provide details now.,BankingScam,Fraudulent Transaction
Alert from Axis: Suspicious login attempt detected. Provide your details to secure your account.,BankingScam,Fraudulent Transaction
Urgent: Your bank details need verification to safeguard your account. Reply with your Aadhaar number.,BankingScam,KYC Verification
Notice: There is an anomaly in your account transactions. Confirm your details using your OTP.,BankingScam,Fraudulent Transaction
"Dear customer, your bank account is under verification. Share your PAN card details now.",BankingScam,KYC Verification
Immediate action required: Alert from PNB - account suspended due to pending verification.,BankingScam,Account Blocked
Fraud alert: Transfer your funds to our designated account to protect against unauthorized withdrawals.,BankingScam,Fraudulent Transaction
ICICI Bank notice: Provide your full banking credentials to resolve the pending account issue.,BankingScam,Account Blocked
Notification: Your credit card activity is under review. Submit your card details for verification.,BankingScam,Credit Card Scam
Reminder: Update your KYC with new details to avoid account deactivation.,BankingScam,KYC Verification
Security update: Your mobile number has been flagged. Verify your identity with OTP now.,BankingScam,Fraudulent Transaction
Alert: Your credit card is compromised. Provide your CVV and other details to secure it.,BankingScam,Credit Card Scam
PNB: Urgent verification needed. Enter your bank account details to restore access.,BankingScam,Account Blocked
Bank alert: Your transaction requires immediate confirmation. Provide your info to proceed.,BankingScam,Fraudulent Transaction
Warning: Unrecognized device access detected. Share your banking credentials to verify.,BankingScam,Fraudulent Transaction
"Special loan offer: Low interest available, but first verify your banking details to qualify.",BankingScam,Loan Offer
Your account is flagged for review. Confirm your identity with sensitive details now.,BankingScam,Fraudulent Transaction
ICICI: Incomplete KYC alert. Provide necessary details to prevent account suspension.,BankingScam,KYC Verification
Fraud notice: Your bank account is at risk. Respond with your credentials immediately.,BankingScam,Fraudulent Transaction
RBI impersonation: We are calling to secure your account. Please send your secure OTP.,BankingScam,RBI Impersonation Scam
Attention: Your loan application requires an upfront fee. Please send your details to process it.,BankingScam,Loan Offer
Urgent reminder: Account compromised. Confirm your identity with your bank credentials now.,BankingScam,Fraudulent Transaction
Thank you for calling SBI. How can we assist you today?,legitemate,legitemate
We are calling to confirm your recent transaction. Please verify your customer ID.,legitemate,legitemate
Your account balance is ₹5000. This is an automated message.,legitemate,legitemate
SBI notification: Your account transaction of ₹1200 has been confirmed.,legitemate,legitemate
ICICI update: Your KYC details have been successfully updated.,legitemate,legitemate
"HDFC: Your requested transaction has been processed, thank you for confirming.",legitemate,legitemate
Axis Bank: Thank you for contacting us. How can we assist you?,legitemate,legitemate
PNB: We have received your inquiry about a recent transaction. Please visit your branch for more details.,legitemate,legitemate
PhonePe alert: This is a notification confirming your recent payment of ₹800.,legitemate,legitemate
Google Pay: Your transaction was completed successfully on 2025-02-07.,legitemate,legitemate
RBI official call: This is a verification call. Please provide your account number if you initiated the call.,legitemate,legitemate
SEBI notice: Your investment details have been updated per your request.,legitemate,legitemate
IRDAI update: Your claim has been processed. Thank you for your cooperation.,legitemate,legitemate
Thank you for visiting our branch. Your inquiry has been noted and will be addressed.,legitemate,legitemate
SBI: Your recent payment has been confirmed by our system.,legitemate,legitemate
ICICI: Your scheduled appointment with our advisor is confirmed.,legitemate,legitemate
HDFC: Your transaction alert is a confirmation of your reported transaction.,legitemate,legitemate
Axis: This message confirms your successful transfer.,legitemate,legitemate
PNB: Your number has been registered for SMS alerts.,legitemate,legitemate
Bank service: Your account enquiry has been successfully processed.,legitemate,legitemate
SBI: Your online banking password reset has been requested and processed.,legitemate,legitemate
ICICI: Your debit card has been shipped to your registered address.,legitemate,legitemate
HDFC: Your standing instruction for monthly payments has been updated successfully.,legitemate,legitemate
Axis Bank: Your contact details have been updated as per your request.,legitemate,legitemate
PNB: Your cheque book request has been processed.,legitemate,legitemate
SBI Alert: A scheduled maintenance window is in effect. No action is needed on your part.,legitemate,legitemate
ICICI Notification: Your recent online purchase has been confirmed.,legitemate,legitemate
HDFC Reminder: Your bill payment for this month has been received.,legitemate,legitemate
Axis Bank: Your account statement for February 2025 is now available.,legitemate,legitemate
PNB: Your financial advisory meeting is scheduled as per your selection.,legitemate,legitemate
SBI: Your secure login attempt has been recorded successfully.,legitemate,legitemate
ICICI: Your request for a credit limit increase has been processed.,legitemate,legitemate
HDFC: Your fixed deposit has been renewed automatically.,legitemate,legitemate
Axis Bank: Your funds transfer request has been completed.,legitemate,legitemate
PNB: Your investment portfolio has been updated.,legitemate,legitemate
SBI: Your customer query has been escalated and will be resolved shortly.,legitemate,legitemate
ICICI: Your mobile banking app has been updated to the latest version.,legitemate,legitemate
HDFC: Your online transaction of ₹300 has been verified.,legitemate,legitemate
Axis Bank: Your card activation has been successfully completed.,legitemate,legitemate
PNB: Your request for account information has been fulfilled.,legitemate,legitemate
SBI: Your secure transaction is confirmed as per your instructions.,legitemate,legitemate
ICICI: Your latest bank statement has been emailed to your registered address.,legitemate,legitemate
HDFC: Your reward points have been credited to your account.,legitemate,legitemate
Axis Bank: Your branch visit appointment is confirmed.,legitemate,legitemate
PNB: Your periodic account review has been completed.,legitemate,legitemate
SBI: Your online fund transfer has been successfully executed.,legitemate,legitemate
ICICI: Your cheque deposit has been processed.,legitemate,legitemate
HDFC: Your request for a duplicate passbook has been completed.,legitemate,legitemate
Axis Bank: Your debit card PIN change has been updated as per your request.,legitemate,legitemate
PNB: Your scheduled call with a banking advisor is confirmed.,legitemate,legitemate
This is SBI calling. Your account has been blocked due to suspicious activity. Provide OTP immediately.,BankingScam,Account Blocked
Alert from HDFC: Your account is frozen due to incomplete KYC. Send your Aadhaar details now.,BankingScam,KYC Scam
ICICI alert: Suspicious transaction detected. Transfer funds to our safe account to prevent loss.,BankingScam,Fraudulent Transaction
Axis Bank notice: Your ATM card has been deactivated. Call our number to reactivate it.,BankingScam,Account Blocked
