text,category,sub-category
"Namaste! This is Akash Verma calling from the 'India Lottery Association.' Congratulations, priyanshurohilla001, you have won a bumper prize of ₹2 Crore in our recent lucky draw! To claim this massive prize, you need to immediately pay a processing fee of ₹15,000. This is a limited-time offer, so act fast and don't miss out on this golden opportunity!",LotteryScam,PrizeScam
"Hello, priyanshurohilla001 ji, this is Priya Sharma from 'Flipkart Rewards.' We are delighted to inform you that you have won a brand new Tata Harrier car in our Diwali Dhamaka offer! To get this amazing car delivered to your doorstep, you need to pay the road tax and registration charges of ₹25,000. Please arrange the payment quickly as there are many other winners waiting!",LotteryScam,PrizeScam
"Aadab arz hai! This is Salim Khan speaking from the 'Sikkim State Lottery.' Masha Allah, priyanshurohilla001, you have won the first prize of ₹1.5 Crore in our recent draw! To receive this huge amount, you need to deposit ₹10,000 as a security deposit. This amount is fully refundable once the prize money is credited to your account. Please provide your bank details for verification.",LotteryScam,PrizeScam
"Namaskaram! This is Lakshmi calling from the 'Kerala State Lottery.' Congratulations, priyanshurohilla001 garu, you have won a bumper prize of ₹1 Crore in our Onam special draw! To claim this fantastic prize, you need to pay the income tax of ₹20,000. This is a mandatory requirement as per government rules. Please share a copy of your Aadhaar card and PAN card for verification.",LotteryScam,PrizeScam
"Sat Sri Akal! This is Gurpreet Singh from the 'Punjab State Lottery.' Wah ji wah, priyanshurohilla001, you have won a brand new Mahindra Scorpio in our Baisakhi bumper draw! To get this powerful SUV, you need to pay the handling charges of ₹12,000. Please make the payment quickly so we can arrange for the delivery.",LotteryScam,PrizeScam
"Kem cho! This is Patel calling from the 'Gujarat State Lottery.' Abhinandan, priyanshurohilla001 bhai, you have won a jackpot of ₹80 Lakh in our Navratri special draw! To receive this amazing prize, you need to transfer ₹8,000 as processing fees. This is a small amount compared to the prize money. Please provide your OTP for verification.",LotteryScam,PrizeScam
"Hello priyanshurohilla001, this is Rajesh from 'Amazon Lucky Draw'. You have won ₹75 Lakh in our lucky draw event. To claim this prize amount, you need to pay a processing fee of ₹6000. Please share your details for further process.",LotteryScam,PrizeScam
Namaste! This is Neha calling from 'Flipkart Mega Prize'. We are happy to inform you that you have won a brand new Alto car. So please pay ₹9000 for the delivery charges to your location. Congratulations!,LotteryScam,PrizeScam
"Hello priyanshurohilla001 ji, I am calling from 'Paytm Rewards'. You are the lucky winner of ₹50 Lakh in our Paytm lucky draw. To get this prize, you need to pay ₹4000 for the documentation process. Please share your bank details.",LotteryScam,PrizeScam
"Aadab, this is Imran calling from 'Sikkim State Lottery'. Congratulations, you have won ₹1 Crore in our lucky draw. So please pay ₹7000 as a security deposit for your prize amount. Thank you.",LotteryScam,PrizeScam
"Namaskaram, this is Priya calling from 'Kerala Lottery'. You have won ₹60 Lakh in our Kerala lottery, and to claim the amount, you need to provide your Aadhaar card and pay ₹5000 processing fee.",LotteryScam,PrizeScam
"Sat Sri Akal, this is Sardar Singh from 'Punjab Lucky Draw'. You have won a brand new tractor in our lucky draw contest. So, please pay ₹8000 as handling charges to get your prize.",LotteryScam,PrizeScam
"Kem cho, this is Patel calling from 'Gujarat State Lottery'. Congratulations, you have won ₹40 Lakh, so please pay ₹4500 as a tax amount to claim it.",LotteryScam,PrizeScam
"Hello priyanshurohilla001, this is David calling from 'Microsoft Rewards'. You have been selected as the lucky winner of our lucky draw. We are happy to inform you that you have won ₹1 Crore.",LotteryScam,PrizeScam
"Namaste, this is Aishwarya calling from 'Amazon Lucky Draw'. Congratulations priyanshurohilla001, you have won ₹50 Lakh in our lucky draw event. To claim this prize, you need to pay a processing fee of ₹6000.",LotteryScam,PrizeScam
"Hello priyanshurohilla001 ji, this is Neha calling from 'Flipkart Mega Prize'. We are happy to inform you that you have won a brand new Alto car. So please pay ₹9000 for the delivery charges to your location. Congratulations!",LotteryScam,PrizeScam
