text,category,sub-category
This is [Officer's Name] from the Cyber Crime Cell. We are following up on the complaint you filed regarding online fraud.,Legitimate,Legitimate
"We are investigating a case of online harassment, and your information may be relevant. Can you please confirm your email address?",Legitimate,Legitimate
We need some additional information about the fraudulent transaction you reported. Can you please provide the transaction ID and the date of the transaction?,Legitimate,Legitimate
We are investigating a case of online harassment. Did you receive any threatening messages from [email address/phone number]?,Legitimate,Legitimate
This is [Officer's Name] from the Cyber Crime Cell. Your case number is [case number]. You can contact us at [official phone number] for updates.,Legitimate,Legitimate
We have made an arrest in connection with the online fraud you reported. We will contact you with further details.,Legitimate,Legitimate
We would like to invite you to the Cyber Crime Cell to record your statement in person. Please come to [address] on [date] at [time].,Legitimate,Legitimate
This is Inspector Sharma from the Cyber Crime Cell. A case has been registered against you for illegal transactions. You must pay ₹5000 immediately to avoid arrest.,GovernmentImpersonation,police
"We have a warrant for your arrest. To avoid being taken into custody, you must pay a fine of ₹10000 over the phone.",GovernmentImpersonation,police
We are investigating a case involving your bank account. You are a suspect. You must cooperate immediately.,GovernmentImpersonation,police
"This is the Cyber Crime Cell. To settle the case against you, you must transfer ₹20000 to this account number: 9876543210.",GovernmentImpersonation,police
We can close the investigation if you pay a fee of ₹10000 over the phone.,GovernmentImpersonation,police
We need to verify your identity. Please provide your Aadhaar number and OTP over the phone.,GovernmentImpersonation,police
"Your bank account has been compromised. Please provide your bank account details, including your password, over the phone to secure it.",GovernmentImpersonation,police
We need to access your social media account to investigate a case. Please provide your username and password over the phone.,GovernmentImpersonation,police
We need to verify your identity. Please provide your UPI PIN over the phone.,GovernmentImpersonation,police
Your computer has been infected with a virus. Please install AnyDesk or TeamViewer over the phone so we can help you fix it.,GovernmentImpersonation,police
We need to monitor your device to ensure your safety. Please install [remote access software] over the phone.,GovernmentImpersonation,police
"Your bank account has been compromised. To protect your funds, you must transfer them to a 'safe' account over the phone. The account number is [fake account number].",GovernmentImpersonation,police
"We have information about your online activity. If you don't pay ₹50000 over the phone, we will share this information with your family/employer.",GovernmentImpersonation,police
We have access to your private photos/videos. Pay ₹100000 over the phone to prevent us from sharing them.,GovernmentImpersonation,police
You have violated cyber laws. You must pay a fine of ₹25000 over the phone to avoid further action.,GovernmentImpersonation,police
Cyber Crime Cell calling. Your social media account has been used for illegal activities. Pay fine now.,GovernmentImpersonation,police
Police calling. A complaint has been lodged against your number. Provide OTP to verify.,GovernmentImpersonation,police
Cyber Police: Your bank account is linked to a cyber crime. Transfer all funds to our account now.,GovernmentImpersonation,police
Cyber Crime Cell: Your device is compromised. Install this software to fix it.,GovernmentImpersonation,police
"Police calling. Sir, we need your cooperation in a case. Pay us to avoid trouble",GovernmentImpersonation,police
Cyber Police: We have a warrant for your arrest. Settle the case by paying online.,GovernmentImpersonation,police
Cyber Crime Cell calling. Your KYC is not updated. Give bank details to update.,GovernmentImpersonation,police
Police calling. We have a tip about your involvement in a crime. Give us money to clear.,GovernmentImpersonation,police
Cyber Crime Cell calling. We are tracking your online activity. Pay us or face consequences.,GovernmentImpersonation,police
Police calling. Your Aadhar card has been misused. Share all details.,GovernmentImpersonation,police
Cyber Police: Your email has been hacked. Pay us to recover it.,GovernmentImpersonation,police
Police calling. We are investigating a money laundering case. Pay us to stay out of it.,GovernmentImpersonation,police
