text,category,sub-category
"Hello, this is David from Microsoft Support. Your computer has a serious virus that is affecting your Aadhaar-linked bank account. We need to fix it immediately.",RemoteAccessRequest,RemoteAccess
This is [Name] from SBI Bank. There are suspicious transactions on your account. Please install TeamViewer so we can secure your UPI access.,RemoteAccessRequest,RemoteAccess
This is Inspector Sharma from the Cyber Crime Cell. Your device has been used to commit a cybercrime. Please install QuickSupport so we can investigate and help you.,RemoteAccessRequest,RemoteAccess
This is [Name] from Amazon customer service. Your refund transaction failed. Please install AnyDesk so we can process it again.,RemoteAccessRequest,RemoteAccess
We are offering a work-from-home data entry job with high income. Please install TeamViewer so we can set up your computer and start your training.,RemoteAccessRequest,RemoteAccess
"This is UPPCL calling. Your electricity bill is overdue, and your power will be disconnected today. Please install AnyDesk so we can help you pay it and avoid disconnection.",RemoteAccessRequest,RemoteAccess
"Microsoft: Beta, your computer has a virus! Install AnyDesk immediately!",RemoteAccessRequest,RemoteAccess
"SBI: Sir, your account is at high risk! Download TeamViewer now!",RemoteAccessRequest,RemoteAccess
"Cyber Crime Cell: Madam, your device is compromised. Install QuickSupport for investigation.",RemoteAccessRequest,RemoteAccess
"Amazon Refund: Baccha, download AnyDesk to receive your refund!",RemoteAccessRequest,RemoteAccess
"Data Entry Company: Install TeamViewer, beta, to set up your job!",RemoteAccessRequest,RemoteAccess
"UPPCL: Sir, install AnyDesk to avoid power cut!",RemoteAccessRequest,RemoteAccess
"Microsoft: Your computer is running very slow, install AnyDesk to optimize it!",RemoteAccessRequest,RemoteAccess
"HDFC: Your account needs KYC, Madam, install TeamViewer to update!",RemoteAccessRequest,RemoteAccess
"Cyber Crime: We need to check your device, install QuickSupport for help, beta!",RemoteAccessRequest,RemoteAccess
"Flipkart: Your refund is stuck, install AnyDesk to release it, Sir!",RemoteAccessRequest,RemoteAccess
"Online Marketing: Work from home, install TeamViewer, Madam, for training!",RemoteAccessRequest,RemoteAccess
"BESCOM: Your meter is faulty, install AnyDesk or power cut!",RemoteAccessRequest,RemoteAccess
"Microsoft: Your computer is sending out suspicious signals. Download AnyDesk for immediate resolution, Sir.",RemoteAccessRequest,RemoteAccess
"SBI: Your account has been flagged for unauthorized access. Download TeamViewer for a security review, Madam.",RemoteAccessRequest,RemoteAccess
"Cyber Crime: We have detected suspicious activity on your device and need to investigate immediately. Download QuickSupport for assistance, beta.",RemoteAccessRequest,RemoteAccess
"Amazon Refund: You're due a refund. Install AnyDesk for quick processing and assistance, Sir.",RemoteAccessRequest,RemoteAccess
"Work From Home: We need you to install TeamViewer so we can set up your remote workstation efficiently and securely, Madam.",RemoteAccessRequest,RemoteAccess
"UPPCL: Sir, your electricity bill is overdue. Download AnyDesk now to avoid disconnection.",RemoteAccessRequest,RemoteAccess
"Microsoft: Madam, your computer has been infected with malware. Download AnyDesk now for immediate removal.",RemoteAccessRequest,RemoteAccess
"RBI: Sir, your bank account has been compromised. Download TeamViewer now for a security check.",RemoteAccessRequest,RemoteAccess
"Cyber Crime: Beta, your device is being used for illegal activities. Download QuickSupport now for investigation.",RemoteAccessRequest,RemoteAccess
"Flipkart: Madam, you have an unclaimed refund. Download AnyDesk now to claim it.",RemoteAccessRequest,RemoteAccess
"Data Entry: Sir, download TeamViewer now to set up your work-from-home job.",RemoteAccessRequest,RemoteAccess
"BESCOM: Madam, your meter needs to be updated. Download AnyDesk now to avoid disconnection.",RemoteAccessRequest,RemoteAccess
"Microsoft: Sir, your computer's firewall is not working. Download AnyDesk now to fix it.",RemoteAccessRequest,RemoteAccess
"HDFC: Madam, your UPI account is at risk. Download TeamViewer now to secure it.",RemoteAccessRequest,RemoteAccess
"Cyber Crime: Beta, your device has been used for online fraud. Download QuickSupport now for assistance.",RemoteAccessRequest,RemoteAccess
"Amazon: Sir, you have a cashback offer. Download AnyDesk now to claim it.",RemoteAccessRequest,RemoteAccess
"Online Marketing: Madam, download TeamViewer now for remote training and setup.",RemoteAccessRequest,RemoteAccess
"UPPCL: Sir, your electricity meter needs to be checked. Download AnyDesk now to avoid a fine.",RemoteAccessRequest,RemoteAccess
"Microsoft: Beta, your Windows is not genuine. Download AnyDesk now to activate it.",RemoteAccessRequest,RemoteAccess
"SBI: Sir, your internet banking is blocked. Download TeamViewer now to unblock it.",RemoteAccessRequest,RemoteAccess
"Cyber Crime: Madam, your social media accounts have been hacked. Download QuickSupport now for help.",RemoteAccessRequest,RemoteAccess
"Flipkart: Beta, you have won a lottery. Download AnyDesk now to claim your prize.",RemoteAccessRequest,RemoteAccess
"Data Entry: Sir, download TeamViewer now for a quick job setup and training.",RemoteAccessRequest,RemoteAccess
"BESCOM: Madam, your electricity connection is under review. Download AnyDesk now to avoid a penalty.",RemoteAccessRequest,RemoteAccess
"Microsoft: Sir, your computer has been hacked. Download AnyDesk now to get immediate assistance.",RemoteAccessRequest,RemoteAccess
"Bank Security Alert: Madam, your account is at high risk. Download TeamViewer now for immediate security.",RemoteAccessRequest,RemoteAccess
"Cyber Crime Investigation Unit: Beta, your device has been compromised and requires immediate action. Download QuickSupport for assistance.",RemoteAccessRequest,RemoteAccess
