text,category,sub-category
Amazon: Order #1001 cancelled due to technical glitch. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Flipkart: Order #1002 cancelled due to product unavailability. Provide credit card details.,Ecommerce Scam,Order Cancellation Scam
Myntra: Order #1003 cancelled due to address issue. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Ajio: Order #1004 cancelled due to KYC incomplete. Provide Aadhaar and OTP.,Ecommerce Scam,Order Cancellation Scam
Nykaa: Order #1005 cancelled due to pricing error. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Tata CLiQ: Order #1006 cancelled due to technical glitch. Provide credit card details.,Ecommerce Scam,Order Cancellation Scam
Snapdeal: Order #1007 cancelled due to product unavailability. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Meesho: Order #1008 cancelled due to address issue. Provide Aadhaar and OTP.,Ecommerce Scam,Order Cancellation Scam
Amazon: Order #1009 cancelled due to technical glitch. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Flipkart: Order #1010 cancelled due to KYC incomplete. Provide credit card details.,Ecommerce Scam,Order Cancellation Scam
Myntra: Order #1011 cancelled due to pricing error. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Ajio: Order #1012 cancelled due to product unavailability. Provide Aadhaar and OTP.,Ecommerce Scam,Order Cancellation Scam
Nykaa: Order #1013 cancelled due to address issue. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Tata CLiQ: Order #1014 cancelled due to technical glitch. Provide credit card details.,Ecommerce Scam,Order Cancellation Scam
Snapdeal: Order #1015 cancelled due to KYC incomplete. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Meesho: Order #1016 cancelled due to pricing error. Provide Aadhaar and OTP.,Ecommerce Scam,Order Cancellation Scam
Amazon: Order #1017 cancelled due to product unavailability. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Flipkart: Order #1018 cancelled due to address issue. Provide credit card details.,Ecommerce Scam,Order Cancellation Scam
Myntra: Order #1019 cancelled due to technical glitch. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Ajio: Order #1020 cancelled due to pricing error. Provide Aadhaar and OTP.,Ecommerce Scam,Order Cancellation Scam
Nykaa: Order #1021 cancelled due to KYC incomplete. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Tata CLiQ: Order #1022 cancelled due to product unavailability. Provide credit card details.,Ecommerce Scam,Order Cancellation Scam
Snapdeal: Order #1023 cancelled due to address issue. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Meesho: Order #1024 cancelled due to technical glitch. Provide Aadhaar and OTP.,Ecommerce Scam,Order Cancellation Scam
Amazon: Order #1025 cancelled due to pricing error. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Flipkart: Order #1026 cancelled due to KYC incomplete. Provide credit card details.,Ecommerce Scam,Order Cancellation Scam
Myntra: Order #1027 cancelled due to product unavailability. Provide bank details.,Ecommerce Scam,Order Cancellation Scam
Ajio: Order #1028 cancelled due to address issue. Provide Aadhaar and OTP.,Ecommerce Scam,Order Cancellation Scam
Delhivery on behalf of Amazon: Package #D2001 not delivered due to incorrect address. Pay redelivery fee ₹300.,Ecommerce Scam,Delivery Issues Scam
Blue Dart for Flipkart: Package #D2002 undelivered due to customs charges. Pay fee ₹500.,Ecommerce Scam,Delivery Issues Scam
DTDC for Myntra: Package #D2003 not delivered due to unpaid shipping fee. Pay redelivery fee ₹250.,Ecommerce Scam,Delivery Issues Scam
Ecom Express for Ajio: Package #D2004 undelivered due to address mismatch. Pay redelivery fee ₹350.,Ecommerce Scam,Delivery Issues Scam
