text,category,sub-category
This is [Name] from the [City Name] Municipal Corporation. We are calling regarding your property tax for [property address/ID].,Legitimate,Legitimate
We are calling to clarify some details about your property tax payment.,Legitimate,Legitimate
Your property tax payment has been received. Thank you.,Legitimate,Legitimate
Thank you for calling the [City Name] Municipal Corporation. How can I help you?,Legitimate,Legitimate
We are calling to inform you about the new regulations regarding waste disposal.,Legitimate,Legitimate
This is [Name] from the [City Name] Municipal Corporation. We are following up on your complaint regarding water supply.,Legitimate,Legitimate
This is the [City Name] Municipal Corporation. Your property tax is overdue. You must pay ₹10000 immediately to avoid penalties.,GovernmentImpersonation,PropertyTax
We have sent you a notice regarding your property tax. You must pay the amount over the phone to avoid further action.,GovernmentImpersonation,PropertyTax
Your property tax payment is showing as incomplete. You must pay the outstanding amount over the phone.,GovernmentImpersonation,PropertyTax
Your property will be seized if you don't pay your property tax immediately.,GovernmentImpersonation,PropertyTax
We will take legal action against you if you don't pay your property tax over the phone.,GovernmentImpersonation,PropertyTax
We are going to seal your property if you don't pay a fine over the phone for illegal construction.,GovernmentImpersonation,PropertyTax
"To avoid penalties for building violations, you must pay a bribe of ₹5000 over the phone.",GovernmentImpersonation,PropertyTax
We can expedite the approval of your building plans if you pay a fee of ₹2000 over the phone.,GovernmentImpersonation,PropertyTax
We are offering a special discount on your property tax. Pay ₹3000 over the phone to avail the discount.,GovernmentImpersonation,PropertyTax
"We need to verify your property details. Please provide your property ID, owner's name, and other personal information over the phone.",GovernmentImpersonation,PropertyTax
We need to update your property records. Please provide your Aadhaar number and other personal information over the phone.,GovernmentImpersonation,PropertyTax
We have found a violation on your property. You must pay a fine of ₹8000 over the phone to avoid further action.,GovernmentImpersonation,PropertyTax
Property Tax calling. Your property is showing as illegal. Pay bribe now.,GovernmentImpersonation,PropertyTax
Municipal Corporation calling. We are going to demolish your property. Pay now to avoid.,GovernmentImpersonation,PropertyTax
Property Tax: Your property tax is not paid. Pay a fine to avoid action.,GovernmentImpersonation,PropertyTax
Municipal Corporation: We are sending a team to your house. Pay to avoid.,GovernmentImpersonation,PropertyTax
